"","id","company_urlname","company_id","shares","C2B_likes","total_comments","created_date","post_time","post_date","weekday","time","type","afinnscore","bingscore","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","message"
"1677",1677,"Kia","156773665364",19,83,60,"2012-03-01","20:02:36","2012-03-01",4,"night","photo",6,1,0,0,0,0,0,0,2,0,0,1,"kia motors america today announced the brand’s best ever february sales of 45,038 units, a 37.3-percent increase over the same period in 2011. year-to-date sales are up 32.9 percent on the strength of popular vehicles such as the optima and the soul. which kia vehicle do you drive or would like to be driving soon?"
"1678",1678,"Kia","156773665364",22,104,25,"2012-03-01","19:36:20","2012-03-01",4,"night","photo",3,1,0,3,0,0,2,0,3,0,0,1,"kia motors manufacturing georgia, inc. recently celebrated production of the 500,000th vehicle at the west point, ga. automobile manufacturing facility. vehicle number 500,000 was a snow white pearl optima sx and will now be allocated to one of kia motors america's more than 755 dealerships nationwide."
"1679",1679,"Kia","156773665364",2,13,8,"2012-02-29","18:16:00","2012-02-29",3,"afternoon","link",NA,NA,0,1,0,1,0,0,0,0,0,0,"watch it here..."
"1680",1680,"Kia","156773665364",0,13,0,"2012-02-27","23:07:00","2012-02-27",1,"night","link",NA,NA,0,0,0,0,0,0,0,0,0,1,"check out the kia soul in the new web series, wolfpack of reseda."
"1681",1681,"Kia","156773665364",0,17,0,"2012-02-27","03:29:55","2012-02-27",1,"early morning","link",2,NA,0,1,0,0,1,0,1,0,0,1,"congrats to kevin durant, the 2012 kia nba all-star game mvp!"
"1682",1682,"Kia","156773665364",0,16,0,"2012-02-27","02:45:26","2012-02-27",1,"early morning","link",NA,NA,1,2,0,0,2,1,2,1,1,2,"vote for your kia nba all-star mvp by texting the player’s last name to “dunks” 38657 now!"
"1683",1683,"Kia","156773665364",26,43,4,"2012-02-24","17:29:25","2012-02-24",5,"afternoon","video",-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"what’s crazier than dunking over a kia optima? having an optima dunk over blake griffin."
"1684",1684,"Kia","156773665364",0,21,2,"2012-02-19","23:09:12","2012-02-19",7,"night","link",6,1,0,0,0,0,0,1,0,1,1,0,"travel across the country in your virtual kia optima to gather intel and find black boxes. you could win a chance to take a vip tour of the nikita set!"
"1685",1685,"Kia","156773665364",0,23,0,"2012-02-18","17:38:54","2012-02-18",6,"afternoon","link",1,NA,0,2,0,0,1,0,1,0,0,1,"check out the explore kia application on facebook. you can browse kia vehicles, compare kia with other vehicles, find a local dealer, share with friends, and much more."
"1686",1686,"Kia","156773665364",2,23,1,"2012-02-17","02:00:17","2012-02-17",5,"early morning","link",2,1,0,2,0,0,3,0,3,0,0,2,"what is your favorite blake griffin commercial for the kia optima? check out our video playlist with all five videos featuring the basketball all-star."
"1687",1687,"Kia","156773665364",0,14,14,"2012-02-17","00:23:39","2012-02-17",5,"early morning","link",NA,NA,0,1,0,0,0,0,0,0,0,0,"what is the best song to play with your windows down? submit your song suggestions and check out songs picked by kia rio owners on our spotify playlist."
"1688",1688,"Kia","156773665364",1,30,8,"2012-02-16","21:24:23","2012-02-16",4,"night","video",4,NA,0,1,0,1,3,0,4,0,1,3,"check out an exclusive look at the birth of a concept car. for nearly 9 months, motor trend magazine followed the kia design team as they worked to create their racing-inspired track'ster concept, from the first design sketches to the final unveiling at the 2012 chicago auto show."
"1689",1689,"Kia","156773665364",4,31,1,"2012-02-15","22:43:05","2012-02-15",3,"night","link",10,5,0,1,0,0,1,0,1,0,1,1,"find out why the 2012 kia optima is not your average midsize sedan. download the free kia optima interactive experience application for the ipad®. in this rich interactive experience, you’ll uncover optima’s smart mix of eco-friendly technologies, practical features, and of course — its amazing value."
"1690",1690,"Kia","156773665364",0,10,2,"2012-02-15","17:24:35","2012-02-15",3,"afternoon","link",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"the cast of nikita needs your help on a mission. key codes must be obtained manually. that's where you come in, agent. obtain all the keys and when you find them, well…we just don't know."
"1691",1691,"Kia","156773665364",3,37,5,"2012-02-14","19:01:41","2012-02-14",2,"night","video",2,1,0,0,0,0,1,1,1,0,1,1,"kia was voted the best automotive commercial in the 2012 twitter ad scrimmage. thanks to everyone that voted. check out the full :90 version of the spot. what is your favorite part of the commercial?"
"1692",1692,"Kia","156773665364",1,40,14,"2012-02-13","18:15:53","2012-02-13",1,"afternoon","photo",7,1,1,3,1,0,6,3,15,3,2,4,"inspired by the beautiful rock formations found in the southwest united states, the red rock special edition soul! adds style, class and unique features inside and out. the red rock special edition features a lustrous canyon exterior color, high-gloss black front fascia and mirror housings. the interior is adorned with exclusive black leather trim and brown cloth seats. special edition soul vehicles will have limited availability while supplies last. vehicles will not be available in all regions. see your local kia retailer for details."
"1693",1693,"Kia","156773665364",0,20,1,"2012-02-11","01:27:50","2012-02-11",6,"early morning","link",2,0,0,0,0,0,1,2,1,1,0,1,"black box or bust! go on an interactive scavenger hunt with your favorite cast members from nikita!"
"1694",1694,"Kia","156773665364",0,25,25,"2012-02-09","21:08:50","2012-02-09",4,"night","link",13,3,0,1,0,0,2,0,4,0,2,2,"do you love your kia? share your story on our customer loyalty contest for a chance to win a trip to korea."
"1695",1695,"Kia","156773665364",13,34,6,"2012-02-09","16:22:08","2012-02-09",4,"afternoon","photo",NA,NA,0,0,0,0,0,0,1,0,0,2,"recognized by the editors at kiplinger’s personal finance as a 2012 best new car value, the kia optima has been ranked “best in class” in the $25,000-$30,000 sedan category.  kiplinger’s editors sort through hundreds of contenders to reveal the best values in its annual buyer’s guide."
"1696",1696,"Kia","156773665364",2,46,4,"2012-02-08","22:21:43","2012-02-08",3,"night","photo",5,1,0,0,0,0,0,0,1,0,0,0,"motorweek, one of television’s longest-running and most respected automotive programs, today announced its 2012 drivers’ choice awards at the chicago auto show with the all-new 2012 rio (pictured) and 2012 optima midsize sedan topping the subcompact car and best family sedan categories, respectively."
"1697",1697,"Kia","156773665364",15,74,8,"2012-02-08","21:04:42","2012-02-08",3,"night","photo",6,6,0,4,0,1,3,3,9,2,1,5,"kelley blue book’s kbb.com reported today the top automotive manufacturers with the lowest average total cost of ownership for the initial five-year ownership period, with kia motors america earning the award in the non-luxury brand category and the 2012 soul taking top honors in the non-luxury compact car category. calculating depreciation, expected fuel costs, insurance, maintenance and repair costs, state fees and more, kia’s average total cost of ownership over a five-year ownership period came in below $40,000 and the 2012 soul was under $32,000."
"1698",1698,"Kia","156773665364",2,47,2,"2012-02-08","20:29:54","2012-02-08",3,"night","photo",-2,-2,2,0,0,0,0,2,1,2,1,0,"did you catch the 2012 kia optima sx limited in our big game commercial? take a look at photos and learn more about the new optima sx limited."
"1699",1699,"Kia","156773665364",23,73,5,"2012-02-08","18:17:57","2012-02-08",3,"afternoon","photo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"check out photos of the kia track'ster concept that debuted today at the chicago auto show."
"1700",1700,"Kia","156773665364",1,23,3,"2012-02-08","17:19:21","2012-02-08",3,"afternoon","link",1,1,0,0,0,0,0,0,1,0,0,1,"we would like to thank everyone that voted and helped make kia's ""a dream car. for real life."" commercial #3 on the usa today and facebook ad meter."
"1701",1701,"Kia","156773665364",1,28,0,"2012-02-07","22:36:32","2012-02-07",2,"night","link",1,NA,1,1,0,0,1,1,2,1,1,2,"vote now for kia's ""a dream car. for real life."" commercial in the usa today and facebook ad meter."
"1702",1702,"Kia","156773665364",3,17,0,"2012-02-07","20:56:00","2012-02-07",2,"night","link",4,2,0,1,0,0,0,0,1,0,0,1,"congratulations to kobe bryant and lebron james for being named the january kia players of the month. click below to see the plays that put them on top."
"1703",1703,"Kia","156773665364",2,21,2,"2012-02-06","03:36:31","2012-02-06",1,"early morning","link",2,1,2,2,0,0,3,2,4,2,2,3,"feel like part of the action! your vote could get your favorite big game ad a touchdown! vote now."
